rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1,http orcid org,3,87,42,4.828,870
2,mental health services,3,62,24,2.759,870
3,dynamic interpersonal therapy,3,57,16,1.839,870
4,national health service,3,42,37,4.253,870
5,interpersonal therapy dit,3,33,12,1.379,870
6,belsize lane london,3,31,31,3.563,870
7,evidence-based psychoanalytic study-prize,3,27,9,1.034,870
8,borderline personality disorder,3,22,14,1.609,870
9,runninghead publications received,3,21,21,2.414,870
10,association psychoanalytic psychotherapy,3,20,20,2.299,870
11,psychoanalytic psychotherapy nhs,3,18,16,1.839,870
12,new library psychoanalysis,3,18,12,1.379,870
13,publications received since,3,18,6,0.69,870
14,publications received publications,3,16,15,1.724,870
15,received publications received,3,16,15,1.724,870
16,health service nhs,3,16,16,1.839,870
17,cognitive behavioural therapy,3,15,9,1.034,870
18,runninghead psychoanalytic psychotherapy,3,15,15,1.724,870
19,publications received runninghead,3,15,15,1.724,870
20,received runninghead publications,3,15,15,1.724,870
21,personality disorder service,3,15,5,0.575,870
22,marcus evans marcus,3,14,9,1.034,870
23,evans marcus evans,3,14,9,1.034,870
24,mental health care,3,14,7,0.805,870
25,publications received topbotport,3,14,14,1.609,870
26,psychoanalytic psychotherapy now,3,14,7,0.805,870
27,community mental health,3,14,7,0.805,870
28,jeremy clarke jeremy,3,13,10,1.149,870
29,clarke jeremy clarke,3,13,10,1.149,870
30,com http orcid,3,13,13,1.494,870
31,mental health problems,3,12,6,0.69,870
32,mental health professionals,3,12,4,0.46,870
33,jessica kingsley publishers,3,12,9,1.034,870
34,john lord alderdice,3,12,3,0.345,870
35,acp app members,3,12,6,0.69,870
36,germany http orcid,3,12,5,0.575,870
37,chile http orcid,3,12,1,0.115,870
38,moorfields eye hospital,3,11,4,0.46,870
39,nhs mental health,3,11,7,0.805,870
40,matti kein nen,3,11,4,0.46,870
41,post-traumatic stress disorder,3,11,4,0.46,870
42,available runninghead available,3,11,11,1.264,870
43,anna freud centre,3,10,5,0.575,870
44,road london e-mail,3,10,10,1.149,870
45,adolescent mental health,3,10,5,0.575,870
46,psychoanalysis psychoanalytic psychotherapy,3,10,5,0.575,870
47,psychotherapy primary care,3,10,3,0.345,870
48,journal child psychotherapy,3,10,10,1.149,870
49,specialist psychotherapy service,3,10,3,0.345,870
50,health care system,3,10,7,0.805,870
51,london jessica kingsley,3,10,7,0.805,870
52,available psychoanalytic psychotherapy,3,10,3,0.345,870
53,routledge paperback isbn,3,10,5,0.575,870
54,available available runninghead,3,10,10,1.149,870
55,gmail com http,3,10,10,1.149,870
56,psychoanalytic psychotherapy runninghead,3,9,9,1.034,870
57,jane milton jane,3,9,6,0.69,870
58,milton jane milton,3,9,6,0.69,870
59,richard lucas richard,3,9,7,0.805,870
60,lucas richard lucas,3,9,7,0.805,870
61,psychoanalytic psychotherapy service,3,9,4,0.46,870
62,peter fonagy peter,3,9,7,0.805,870
63,fonagy peter fonagy,3,9,7,0.805,870
64,tavistock portman nhs,3,9,9,1.034,870
65,london karnac paperback,3,9,7,0.805,870
66,reflective practice groups,3,9,3,0.345,870
67,jessica yakeley jessica,3,9,5,0.575,870
68,yakeley jessica yakeley,3,9,5,0.575,870
69,psychoanalytic psychodynamic psychotherapy,3,9,3,0.345,870
70,complex post-traumatic stress,3,9,3,0.345,870
71,psychoanalytic study-prize runninghead,3,9,9,1.034,870
72,study-prize runninghead evidence-based,3,9,9,1.034,870
73,runninghead evidence-based psychoanalytic,3,9,9,1.034,870
74,best research proposals,3,9,9,1.034,870
75,research proposals evidence-based,3,9,9,1.034,870
